,ID,Segment type,Segment Description,Answer,Count,Percentage,It became a relationship
51,292985,university,Southern Methodist University,No,4,0.444,1
52,292889.6677,web,"Meridian, Idaho",No,0,0,0
53,293051.7644,university,University of Miami,I don't use Tinder,1.592050731,0.97997324,1
54,292890.9328,web,"Meridian, Idaho",No,0,0,0
55,292898.309,mobile,"Meridian, Idaho",No,794.4983226,0.44721704,1
56,292901.2682,gender,"Meridian, Idaho",No,508.3802654,0.29733607,0
57,293259,university,University of Arizona,Yes,4,0.364,0
58,292897.3746,gender,"Meridian, Idaho",No,594.8830073,0.280351236,0
59,292897.601,gender,"Meridian, Idaho",No,359.2765414,0.201497606,0
60,292884.2985,mobile,"Meridian, Idaho",No,1038.615984,0.269671723,1
61,292898.2679,gender,"Meridian, Idaho",No,967.757241,0.505669458,0
62,293473,university,Sacred Heart University,I don't use Tinder,0,0,1
63,292888.2004,web,"Meridian, Idaho",No,0,0,0
64,293219,university,Northern Illinois University,No,1,0.5,0
65,292889.4867,web,"Meridian, Idaho",No,0,0,0
66,292893.2992,gender,"Meridian, Idaho",No,473.3165635,0.216052034,0
67,292899.5927,gender,"Meridian, Idaho",No,501.0077861,0.280245322,0
68,293175.5149,university,Yale University,I don't use Tinder,1.187603295,0.017464754,1
69,292884.8442,mobile,"Meridian, Idaho",No,1158.464025,0.300758587,0
70,292899.8021,gender,"Meridian, Idaho",No,363.2985585,0.221460374,0
71,293229.2643,university,University of Washington,No,1.214880737,0.928444715,1
72,293506.5,university,University of Central Florida,Yes,0,0,1
73,292888.5833,gender,"Meridian, Idaho",No,1032.156321,0.301716367,1
74,292890.9996,web,"Meridian, Idaho",No,0,0,0
75,292890.5889,gender,"Meridian, Idaho",No,1085.050524,0.377029667,0
76,292898.5838,gender,"Meridian, Idaho",No,948.0113977,0.503510579,0
77,292881.9076,mobile,"Meridian, Idaho",No,863.4787546,0.224243636,1
78,293441,university,Ithaca College,No,2,0.5,1
79,292890.3132,web,"Meridian, Idaho",No,0,0,0
80,292887.7358,web,"Meridian, Idaho",No,0,0,0
81,292881.3143,mobile,"Meridian, Idaho",No,981.1740715,0.254772114,0
82,292887.8675,web,"Meridian, Idaho",No,0,0,0
83,292899.2574,gender,"Meridian, Idaho",No,552.1788587,0.280068688,0
84,292889.6878,web,"Meridian, Idaho",No,0,0,0
85,292893.8988,mobile,"Meridian, Idaho",No,927.3925133,0.395240481,1
86,292889.5396,web,"Meridian, Idaho",No,0,0,0
87,293121,university,University of North Carolina,Yes,1,0.083,0
88,293101,university,"University of California, San Diego",I don't use Tinder,0,0,0
89,292895.8083,mobile,"Meridian, Idaho",No,794.8597602,0.412510937,1
90,292896.821,gender,"Meridian, Idaho",No,378.3847049,0.203447419,0
91,292891.7138,mobile,"Meridian, Idaho",No,795.4515292,0.355687871,1
92,292888.083,web,"Meridian, Idaho",No,0,0,0
93,292900.3278,gender,"Meridian, Idaho",No,759.5265177,0.448686305,0
94,293455,university,Loyola University Maryland,I don't use Tinder,0,0,0
95,292887.2612,web,"Meridian, Idaho",No,0,0,0
96,293339,university,University of Georgia,No,9,0.818,0
97,293681.3927,university,"Westport, CT",Yes,1.300610616,0.185662165,1
98,292888.5015,web,"Meridian, Idaho",No,0,0,0
99,292881.6106,mobile,"Meridian, Idaho",No,796.9117528,0.215473706,1
100,292894.8375,gender,"Meridian, Idaho",No,913.7096834,0.395042471,1
101,292888.6724,mobile,"Meridian, Idaho",No,795.891113,0.313477979,1
102,292887.4555,web,"Meridian, Idaho",No,0,0,0
103,292898.3034,gender,"Meridian, Idaho",No,342.0664556,0.199741475,0
104,293377,university,University of Pittsburgh,I don't use Tinder,2,1,1
105,292949,university,Johns Hopkins University,No,76,0.551,1
106,292945,university,Indiana University,I don't use Tinder,5,0.114,0
107,292881.4773,mobile,"Meridian, Idaho",No,831.9613099,0.216068463,1
108,292894.7137,gender,"Meridian, Idaho",No,430.0132338,0.208715636,0
109,292887.5325,mobile,"Meridian, Idaho",No,1043.723245,0.314942719,1
110,292899.9143,gender,"Meridian, Idaho",No,817.5609584,0.470799674,1
111,293049.5062,university,Vanderbilt University,No,23.24481972,0.625273829,1
112,292883.5064,mobile,"Meridian, Idaho",No,1746.444941,0.453272408,0
113,292887.161,mobile,"Meridian, Idaho",No,1050.512779,0.310256215,1
114,292885.6682,mobile,"Meridian, Idaho",No,1077.790668,0.291427541,1
115,292883.1876,mobile,"Meridian, Idaho",No,957.2433861,0.248564837,1
116,293205.1461,university,University of Washington,No,1.827246039,0.609386554,1
117,292889.3128,web,"Meridian, Idaho",No,0,0,0
118,292883.3785,mobile,"Meridian, Idaho",No,971.2255402,0.252191608,1
119,292889.0936,web,"Meridian, Idaho",No,0,0,0
120,293052.7112,university,Wesleyan University,I don't use Tinder,14.07220725,0.297592336,1
121,292899.2906,gender,"Meridian, Idaho",No,551.8579312,0.280378549,0
122,292890.5425,web,"Meridian, Idaho",No,0,0,0
123,292900.8686,gender,"Meridian, Idaho",No,536.6030615,0.295107389,0
124,292887.0167,web,"Meridian, Idaho",No,0,0,0
125,292882.333,mobile,"Meridian, Idaho",No,1578.12925,0.40961373,0
126,293105,university,Miami University (Ohio),No,1,0.5,1
127,293613,university,Massachusetts Institute of Technology,Yes,0,0,1
128,293699,university,"Westport, CT",No,0,0,0
129,292881.293,mobile,"Meridian, Idaho",No,796.9576541,0.211066159,1
130,292882.3011,mobile,"Meridian, Idaho",No,1559.455978,0.404770151,0
131,292890.2125,mobile,"Meridian, Idaho",No,795.6685134,0.334852524,1
132,293639,university,Michigan Technological University,No,3,0.75,0
133,292888.6362,web,"Meridian, Idaho",No,0,0,0
134,292888.1462,web,"Meridian, Idaho",No,0,0,0
135,292889.7984,web,"Meridian, Idaho",No,0,0,0
136,292882.2242,mobile,"Meridian, Idaho",No,886.6707716,0.230259313,1
137,292894.6136,gender,"Meridian, Idaho",No,432.4665857,0.208965978,0
138,293679,university,Colby College,Yes,1,0.071,0
139,292891.9881,gender,"Meridian, Idaho",No,1112.630258,0.424916346,0
140,292896.0178,mobile,"Meridian, Idaho",No,888.6721176,0.421967392,1
141,292889.9062,web,"Meridian, Idaho",No,0,0,0
142,292882.697,mobile,"Meridian, Idaho",No,921.3049095,0.239242912,1
143,292890.0846,gender,"Meridian, Idaho",No,1075.109821,0.35976963,0
144,292889.1232,web,"Meridian, Idaho",No,0,0,0
145,293733.7266,university,University of Tampa,I don't use Tinder,1,0.103571513,1
146,292902.8254,gender,"Meridian, Idaho",No,517.6878008,0.313370399,0
147,292900.5613,gender,"Meridian, Idaho",No,824.4203415,0.489997957,0
148,292905,university,Chapman University,Yes,13,0.206,0
149,292901.9,gender,"Meridian, Idaho",No,463.473872,0.282824309,0
150,292895.8726,mobile,"Meridian, Idaho",No,891.3250841,0.420136171,1
151,292890.7997,web,"Meridian, Idaho",No,0,0,0
152,292894.9477,gender,"Meridian, Idaho",No,521.666364,0.235398556,0
153,293211,university,Washington University in St. Louis,Yes,1,0.125,0
154,292889.9134,web,"Meridian, Idaho",No,0,0,0
155,292893.7751,mobile,"Meridian, Idaho",No,929.6531545,0.393680064,1
156,292881.1041,mobile,"Meridian, Idaho",No,796.9849601,0.208444165,1
157,292889.8029,web,"Meridian, Idaho",No,0,0,0
158,292900.6108,mobile,"Meridian, Idaho",No,804.7443952,0.479898844,1
159,292888.9765,web,"Meridian, Idaho",No,0,0,0
160,293781,university,Boston University,Yes,2,0.333,1
161,293529,university,Gonzaga University,Yes,0,0,1
162,292895.4688,mobile,"Meridian, Idaho",No,794.9088174,0.407800348,1
163,292885.775,mobile,"Meridian, Idaho",No,1075.83813,0.292775289,1
164,292884.6239,mobile,"Meridian, Idaho",No,1255.306004,0.325878008,0
165,292887.5024,web,"Meridian, Idaho",No,0,0,0
166,292897.9734,gender,"Meridian, Idaho",No,628.266221,0.314482952,0
167,293231,university,Dartmouth College,No,3,0.3,0
168,292897.1868,gender,"Meridian, Idaho",No,1035.326493,0.51305703,0
169,292898.8983,mobile,"Meridian, Idaho",No,794.4131561,0.455394929,1
170,292890.5012,web,"Meridian, Idaho",No,0,0,0
171,292897.349,gender,"Meridian, Idaho",No,866.1448416,0.432519613,1
172,292896.4422,gender,"Meridian, Idaho",No,387.6669644,0.204394588,0
173,292882.2962,mobile,"Meridian, Idaho",No,1556.581408,0.404024529,0
174,292888.2864,mobile,"Meridian, Idaho",No,795.9469003,0.308121147,1
175,292898.3278,mobile,"Meridian, Idaho",No,846.4606334,0.451104041,1
176,292895.159,mobile,"Meridian, Idaho",No,904.3640155,0.411135995,1
177,293641,university,Michigan Technological University,I don't use Tinder,1,0.25,1
178,292881,mobile,Mobile respondents,Yes,797,0.207,1
179,292895.4868,gender,"Meridian, Idaho",No,535.4126758,0.241597873,0
180,292888.6161,gender,"Meridian, Idaho",No,1046.163692,0.30951048,0
181,292889.1099,web,"Meridian, Idaho",No,0,0,0
182,292979,university,Santa Clara University,No,4,0.8,0
183,292894.2649,gender,"Meridian, Idaho",No,504.2544386,0.227546119,0
184,292882.9456,mobile,"Meridian, Idaho",No,939.5182615,0.243967194,1
185,292894.0514,gender,"Meridian, Idaho",No,476.6260195,0.223723954,0
186,293112.4954,university,University of Mississippi,Yes,1.430426465,0.856667987,1
187,292887.0103,web,"Meridian, Idaho",No,0,0,0
188,293589,university,Appalachian State University,Yes,16,0.139,0
189,292882.0347,mobile,"Meridian, Idaho",No,872.7944316,0.226659989,1
190,292889.0112,web,"Meridian, Idaho",No,0,0,0
191,292900.9078,gender,"Meridian, Idaho",No,802.7631414,0.487630103,0
192,293089,university,Wesleyan University,I don't use Tinder,0,0,1
193,293293,university,Tufts University,I don't use Tinder,2,0.286,1
194,292883.5396,mobile,"Meridian, Idaho",No,983.025736,0.255252409,1
195,292881.6469,mobile,"Meridian, Idaho",No,796.9065016,0.215977941,1
196,292889.2479,web,"Meridian, Idaho",No,0,0,0
197,292886.1024,mobile,"Meridian, Idaho",No,1069.85561,0.296904748,1
198,292893.7317,gender,"Meridian, Idaho",No,1147.000012,0.484592533,0
199,292890.5167,web,"Meridian, Idaho",No,0,0,0
200,292891.9924,mobile,"Meridian, Idaho",No,962.2275182,0.371195477,1
201,292897,gender,Male respondents,I don't use Tinder,574,0.259,0
202,292894.5133,gender,"Meridian, Idaho",No,510.5887939,0.230402789,0
203,292881.5154,mobile,"Meridian, Idaho",No,834.7561457,0.216793403,1
204,292899.7251,gender,"Meridian, Idaho",No,821.1456797,0.467975212,1
205,292882.6257,mobile,"Meridian, Idaho",No,1749.682595,0.454112209,0
206,292901.6518,gender,"Meridian, Idaho",No,510.0679796,0.301248498,0
207,292895.9649,gender,"Meridian, Idaho",No,547.6056299,0.247096657,0
208,292889.6989,web,"Meridian, Idaho",No,0,0,0
209,292887.6494,web,"Meridian, Idaho",No,0,0,0
210,292889.8644,mobile,"Meridian, Idaho",No,1001.112553,0.344354922,1
211,292882.7935,mobile,"Meridian, Idaho",No,928.3721694,0.241076058,1
212,292893.6606,gender,"Meridian, Idaho",No,935.9984071,0.37748081,1
213,292882.8825,mobile,"Meridian, Idaho",No,934.8919248,0.242767189,1
214,292881.4583,mobile,"Meridian, Idaho",No,1065.537129,0.276654682,0
215,292893.2506,gender,"Meridian, Idaho",No,1137.515925,0.468125318,0
216,292896.8445,mobile,"Meridian, Idaho",No,794.7099947,0.426891776,1
217,292891.4101,gender,"Meridian, Idaho",No,1101.238283,0.405136465,0
218,292887.4874,web,"Meridian, Idaho",No,0,0,0
219,292890.8804,web,"Meridian, Idaho",No,0,0,0
220,292899.7669,gender,"Meridian, Idaho",No,728.2521847,0.416710754,0
221,292894.4364,gender,"Meridian, Idaho",No,508.6292868,0.22951909,0
222,292897.7699,gender,"Meridian, Idaho",No,492.9877189,0.261653348,0
223,292897.2139,mobile,"Meridian, Idaho",No,794.6566074,0.432018157,1
224,293737,university,Randolph-Macon College,I don't use Tinder,1,1,0
225,292889.1401,web,"Meridian, Idaho",No,0,0,0
226,292995.1796,university,University of Pennsylvania,I don't use Tinder,34.63879439,0.321022625,1
227,292889.0388,web,"Meridian, Idaho",No,0,0,0
228,292881.7225,mobile,"Meridian, Idaho",No,1220.37122,0.316816426,0
229,292899.7488,gender,"Meridian, Idaho",No,501.694812,0.281837973,0
230,292963,university,Ohio State University,I don't use Tinder,1,0.053,0
231,292896.6002,gender,"Meridian, Idaho",No,1071.988671,0.517065428,0
232,292889.371,web,"Meridian, Idaho",No,0,0,0
233,293390.6839,university,University of Buffalo,Yes,0,0,1
234,292884.4687,mobile,"Meridian, Idaho",No,1051.079978,0.272904704,1
235,292892.559,gender,"Meridian, Idaho",No,1123.883668,0.444455637,0
236,293201,university,New York University,No,2,0.667,1
237,292889.0771,web,"Meridian, Idaho",No,0,0,0
238,292884.6582,mobile,"Meridian, Idaho",No,796.4712775,0.257769202,1
239,293549,university,Florida International University,No,2,1,0
240,292889.8119,web,"Meridian, Idaho",No,0,0,0
241,292887.2433,web,"Meridian, Idaho",No,0,0,0
242,293509,university,University of Notre Dame,I don't use Tinder,2,0.4,1
243,293311,university,United States Naval Academy,I don't use Tinder,4,0.571,0
244,292881.5489,mobile,"Meridian, Idaho",No,1118.627818,0.290425646,0
245,292883.3243,mobile,"Meridian, Idaho",No,967.2570054,0.251162227,1
246,292888.4392,web,"Meridian, Idaho",No,0,0,0
247,293181,university,University of Denver,Yes,1,1,1
248,293669,university,University of Central Oklahoma,No,0,0,1
249,292893.5842,gender,"Meridian, Idaho",No,486.898108,0.219718755,0
250,292900.8021,mobile,"Meridian, Idaho",No,794.1379958,0.481816485,1
251,292882.2452,mobile,"Meridian, Idaho",No,1526.679497,0.396268402,0
252,293447,university,Union College,No,7,0.778,0
253,292889.7086,web,"Meridian, Idaho",No,0,0,0
254,292887.9516,web,"Meridian, Idaho",No,0,0,0
255,292889.241,web,"Meridian, Idaho",No,0,0,0
256,292896.3889,gender,"Meridian, Idaho",No,884.3289025,0.418192084,1
257,292883.1387,mobile,"Meridian, Idaho",No,796.6908933,0.236681161,1
258,292886.1221,mobile,"Meridian, Idaho",No,796.2596974,0.27808562,1
259,292892.447,mobile,"Meridian, Idaho",No,953.9200517,0.376929739,1
260,292889.5193,mobile,"Meridian, Idaho",No,1007.41858,0.340002162,1
261,292902.4892,gender,"Meridian, Idaho",No,491.6097794,0.300059394,0
262,292898.1244,gender,"Meridian, Idaho",No,851.4598268,0.444090184,1
263,292898.0281,gender,"Meridian, Idaho",No,853.2844346,0.442652544,1
264,292887.9654,web,"Meridian, Idaho",No,0,0,0
265,293717.2448,university,University of Tampa,I don't use Tinder,0,0,1
266,293281,university,Columbia University,I don't use Tinder,1,0.167,0
267,292898.9139,gender,"Meridian, Idaho",No,927.3841427,0.501255333,0
268,292888.2376,gender,Cornell University,No,1038.703651,0.296557615,1
269,293515,university,University of Tennessee,I don't use Tinder,1,0.25,0
270,292887.1853,web,"Meridian, Idaho",No,0,0,0
271,292888.0499,web,"Meridian, Idaho",No,0,0,0
272,292890.0041,web,"Meridian, Idaho",No,0,0,0
273,292883.3381,mobile,"Meridian, Idaho",No,1820.426668,0.472462207,0
274,292890.5417,web,"Meridian, Idaho",No,0,0,0
275,292883.231,mobile,"Meridian, Idaho",No,796.6775521,0.237962213,1
276,293048.299,university,Wesleyan University,I don't use Tinder,7.267954146,0.697179465,1
277,292899.9841,gender,"Meridian, Idaho",No,545.1533033,0.286851983,0
278,292888.9799,web,"Meridian, Idaho",No,0,0,0
279,292890.4229,web,"Meridian, Idaho",No,0,0,0
280,292900.4883,mobile,"Meridian, Idaho",No,806.9816765,0.478354552,1
281,292889.7112,gender,"Meridian, Idaho",No,1067.750342,0.346991369,0
282,292890.8283,web,"Meridian, Idaho",No,0,0,0
283,292890.6779,web,"Meridian, Idaho",No,0,0,0
284,292887.5198,web,"Meridian, Idaho",No,0,0,0
285,292886.4919,mobile,"Meridian, Idaho",No,1062.738667,0.301817246,1
286,293001,university,University of Pennsylvania,Yes,24,0.222,0
287,292895.8344,gender,"Meridian, Idaho",No,544.2781015,0.245596007,0
288,292890.7336,web,"Meridian, Idaho",No,0,0,0
289,292894.2279,gender,"Meridian, Idaho",No,503.3125777,0.227121359,0
290,292888.5838,web,"Meridian, Idaho",No,0,0,0
291,292889.9601,web,"Meridian, Idaho",No,0,0,0
292,292881.0014,mobile,"Meridian, Idaho",No,797.8461911,0.20721949,0
293,292900.5845,gender,"Meridian, Idaho",No,505.3719898,0.29036234,0
294,293463.3851,university,Washington State University,No,3.865423019,0.878408066,1
295,292888.2852,web,"Meridian, Idaho",No,0,0,0
296,292899.3393,gender,"Meridian, Idaho",No,499.8929621,0.277660958,0
297,292901.4294,gender,"Meridian, Idaho",No,531.1828583,0.300340689,0
298,292888.2842,web,"Meridian, Idaho",No,0,0,0
299,292886.2204,mobile,"Meridian, Idaho",No,1067.699843,0.298392774,1
300,292900.4069,gender,"Meridian, Idaho",No,763.9360928,0.45319475,0
301,292887.2529,web,"Meridian, Idaho",No,0,0,0
302,292888.7882,web,"Meridian, Idaho",No,0,0,0
303,292893.4328,gender,"Meridian, Idaho",No,483.0363015,0.217977156,0
304,292888.5619,gender,"Meridian, Idaho",No,1032.561637,0.301397012,1
305,292886.2486,mobile,"Meridian, Idaho",No,796.2414266,0.279840028,1
306,292882.8344,mobile,"Meridian, Idaho",No,931.3709608,0.241853901,1
307,293355,university,Northern Arizona University,Yes,1,1,0
308,292888.0738,web,"Meridian, Idaho",No,0,0,0
309,292888.777,web,"Meridian, Idaho",No,0,0,0
310,292883.1129,mobile,"Meridian, Idaho",No,796.6946242,0.236322916,1
311,293207,university,Butler University,No,44,0.647,0
312,292889.5071,web,"Meridian, Idaho",No,0,0,0
313,292890.5585,mobile,"Meridian, Idaho",No,988.4294502,0.353109486,1
314,292888.8583,mobile,"Meridian, Idaho",No,795.8642386,0.316058526,1
315,293051,university,University of Miami,No,0,0,0
316,293301.9019,university,University of Missouri,No,8.774525352,0.57840603,1
317,292881.5129,mobile,"Meridian, Idaho",No,834.5667797,0.216744284,1
318,292902.0258,gender,"Meridian, Idaho",No,511.7135291,0.305063181,0
319,293247,university,University of Maryland,Yes,1,1,0
320,293617,university,Massachusetts Institute of Technology,I don't use Tinder,1,0.5,0
321,292889.6205,web,"Meridian, Idaho",No,0,0,0
322,292882.6255,mobile,"Meridian, Idaho",No,796.7650675,0.22955878,1
323,293399,university,Colorado State University,No,3,1,0
324,292888.3863,web,"Meridian, Idaho",No,0,0,0
325,292887.4828,web,"Meridian, Idaho",No,0,0,0
326,292887.913,web,"Meridian, Idaho",No,0,0,0
327,292897.6815,gender,"Meridian, Idaho",No,492.5986362,0.260751384,0
328,293123.1867,university,Yale University,I don't use Tinder,2.84888983,0.237407486,1
329,292895.1837,gender,"Meridian, Idaho",No,527.6835948,0.238112209,0
330,292881.36,mobile,"Meridian, Idaho",No,1007.933705,0.261713179,0
331,292893.9656,gender,"Meridian, Idaho",No,476.2487667,0.222849414,0
332,292889.1977,mobile,"Meridian, Idaho",No,795.8151824,0.320769021,1
333,292898.4486,gender,"Meridian, Idaho",No,654.7581679,0.341568889,0
334,293449,university,Union College,I don't use Tinder,1,0.111,0
335,292887.7534,web,"Meridian, Idaho",No,0,0,0
336,293031,university,"University of California, Los Angeles",Yes,1,0.077,0
337,292891.3274,gender,"Meridian, Idaho",No,980.1872679,0.342663661,1
338,292888.0315,mobile,"Meridian, Idaho",No,795.9837375,0.304583953,1
339,292889.0887,web,"Meridian, Idaho",No,0,0,0
340,292900.1205,gender,"Meridian, Idaho",No,378.5017259,0.230773309,0
341,292993,university,Stanford University,I don't use Tinder,37,0.343,1
342,292884.7488,mobile,"Meridian, Idaho",No,1200.402473,0.311636819,0
343,293551,university,Florida International University,I don't use Tinder,0,0,0
344,292888.4479,web,"Meridian, Idaho",No,0,0,0
345,292887.2434,web,"Meridian, Idaho",No,0,0,0
346,292896.5545,gender,"Meridian, Idaho",No,562.6387805,0.253876313,0
347,292894.1182,gender,"Meridian, Idaho",No,927.3323124,0.384308972,1
348,293398.9682,university,University of Rochester,I don't use Tinder,0.723106249,0.723106249,1
349,292901.5979,gender,"Meridian, Idaho",No,449.0474387,0.273987174,0
350,292887.029,web,"Meridian, Idaho",No,0,0,0
351,293127,university,University of Arkansas,Yes,12,0.182,0
352,293573,university,Ohio University,No,1,1,1
353,292901.0482,gender,"Meridian, Idaho",No,534.8672148,0.296783379,0
354,292892.7344,gender,"Meridian, Idaho",No,1127.341018,0.450458632,0
355,292897.8071,mobile,"Meridian, Idaho",No,855.9756191,0.444536283,1
356,293671,university,University of Central Oklahoma,I don't use Tinder,1,0.5,0
357,292887.708,web,"Meridian, Idaho",No,0,0,0
358,292883.9491,mobile,"Meridian, Idaho",No,1013.022624,0.263033172,1
359,293553,university,University of Central Florida,Yes,0,0,1
360,293048.8557,university,University of Oregon,Yes,1.25300576,0.183048614,1
361,292961.6692,university,University of Pennsylvania,I don't use Tinder,0.152724677,0.050857318,1
362,292899.1661,gender,"Meridian, Idaho",No,831.7320952,0.459633996,1
363,293073,university,University of Virginia,Yes,3,0.167,0
364,292888.1716,web,"Meridian, Idaho",No,0,0,0
365,292893.91,gender,"Meridian, Idaho",No,449.7060021,0.210725102,0
366,293309,university,United States Naval Academy,No,3,0.429,0
367,292890.5129,gender,"Meridian, Idaho",No,995.6123772,0.330509957,1
368,293079,university,Vanderbilt University,Yes,23,0.235,0
369,292884.6599,mobile,"Meridian, Idaho",No,1065.086436,0.276537779,1
370,292884.7557,mobile,"Meridian, Idaho",No,1072.103989,0.278358031,1
371,293417,university,Arizona State University,No,1,0.5,1
372,292885.596,mobile,"Meridian, Idaho",No,1079.109392,0.290517287,1
373,292882.0036,mobile,"Meridian, Idaho",No,1385.133549,0.359553412,0
374,292897.4317,mobile,"Meridian, Idaho",No,794.6251286,0.435040829,1
375,292897.3767,gender,"Meridian, Idaho",No,570.3586919,0.262515746,0
376,292895.5712,gender,"Meridian, Idaho",No,537.5648427,0.242568458,0
377,292900.5046,gender,"Meridian, Idaho",No,769.3826949,0.458763473,0
378,292894.6055,mobile,"Meridian, Idaho",No,795.0335935,0.395819052,1
379,292888.9946,web,"Meridian, Idaho",No,0,0,0
380,292881.1198,mobile,"Meridian, Idaho",No,805.7754452,0.209276225,1
381,292899.2934,mobile,"Meridian, Idaho",No,828.8163376,0.463283088,1
382,292952.0706,university,"University of California, Berkeley",No,69.85871926,0.541873374,1
383,292893.4888,mobile,"Meridian, Idaho",No,934.8842015,0.390069312,1
384,292896.9862,gender,"Meridian, Idaho",No,374.3377539,0.203034465,0
385,293202.1744,university,University of Washington,No,2.341279953,0.585319988,1
386,292882.2146,mobile,"Meridian, Idaho",No,1508.784107,0.391626594,0
387,292888.9336,web,"Meridian, Idaho",No,0,0,0
388,292896.5153,gender,"Meridian, Idaho",No,881.935072,0.420078224,1
389,292940.9079,university,"University of California, Berkeley",No,80.27082423,0.537737967,1
390,292977,university,Santa Clara University,Yes,0,0,1
391,292896.4425,mobile,"Meridian, Idaho",No,880.9113423,0.427324299,1
392,292890.6779,mobile,"Meridian, Idaho",No,795.6012537,0.341310958,1
393,292887.0599,web,"Meridian, Idaho",No,0,0,0
394,293283,university,Purdue University,Yes,5,0.192,0
395,292890.4114,web,"Meridian, Idaho",No,0,0,0
396,292900.5278,gender,"Meridian, Idaho",No,770.6767311,0.460086523,0
397,292887.5304,web,"Meridian, Idaho",No,0,0,0
398,292901.3951,gender,"Meridian, Idaho",No,508.9385705,0.298630323,0
399,292898.8122,mobile,"Meridian, Idaho",No,794.4255992,0.454200113,1
400,292883.718,mobile,"Meridian, Idaho",No,1653.44315,0.429149077,0
401,292883.1126,mobile,"Meridian, Idaho",No,796.6946644,0.236319056,1
402,292883.4753,mobile,"Meridian, Idaho",No,978.3160673,0.254030789,1
403,292887.1958,mobile,"Meridian, Idaho",No,796.1045181,0.292986316,1
404,292894.7334,gender,"Meridian, Idaho",No,915.6824728,0.393488077,1
405,292899.9922,gender,"Meridian, Idaho",No,816.0873154,0.471960782,1
406,293381,university,University of Chicago,No,1,0.2,0
407,292899.4714,gender,"Meridian, Idaho",No,825.9491724,0.464190459,1
408,292901.6709,gender,"Meridian, Idaho",No,452.5335438,0.276122642,0
